경매시간,경매기준시분초,경매 구분,경매 구분 명,도매시장코드,도매시장명,한우 평균경매 금액,한우 평균경매 금액_상승하강,한우 1B+ 경매단가,한우 3B 경매단가,한우 경매 예상 두수,한우 경매 낙찰 두수,육우 경매 금액,육우 전날 경매금액 차이,육우 경매 예상 두수,육우 경매 두수,돼지 박피 경매 금액,돼지 박피 전날 경매금액 차이,돼지 박피 경매 두수,돼지 탕박 경매 금액,돼지 탕박 전날 경매금액 차이,돼지 탕박 경매 두수,돼지 경매 두수
20181007,235916,753003,경매용+지육상장,1201,신흥산업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181007,235916,753003,경매용+지육상장,0905,농협고령,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181007,235916,753003,경매용+지육상장,1005,김해축공,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181007,235916,753003,경매용+지육상장,0613,관성(홍성),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181007,235916,753003,경매용+지육상장,0513,농협음성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181007,235916,753003,경매용+지육상장,0323,농협부천,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181007,235916,753003,경매용+지육상장,1301,삼성식품(주),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181007,235916,753003,경매용+지육상장,0320,도드람,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181007,235916,753003,경매용+지육상장,0302,협신식품,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181007,235916,753003,경매용+지육상장, ,전국,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181007,235916,753003,경매용+지육상장,1101,제주축협,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181007,235916,753003,경매용+지육상장,1401,삼호축산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181007,235916,753003,경매용+지육상장,0809,농협나주,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181007,235916,753003,경매용+지육상장,0714,익산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181007,235916,753003,경매용+지육상장,0202,부경축공,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181003,235928,753003,경매용+지육상장,1101,제주축협,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181003,235928,753003,경매용+지육상장,1401,삼호축산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181003,235928,753003,경매용+지육상장,0809,농협나주,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181003,235928,753003,경매용+지육상장,0302,협신식품,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181003,235928,753003,경매용+지육상장,0714,익산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181003,235928,753003,경매용+지육상장,0905,농협고령,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181003,235928,753003,경매용+지육상장,1201,신흥산업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181003,235928,753003,경매용+지육상장,0202,부경축공,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181003,235928,753003,경매용+지육상장,1005,김해축공,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181003,235928,753003,경매용+지육상장,0613,관성(홍성),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181003,235928,753003,경매용+지육상장,0513,농협음성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181003,235928,753003,경매용+지육상장,0323,농협부천,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181003,235928,753003,경매용+지육상장, ,전국,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181003,235928,753003,경매용+지육상장,0320,도드람,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181003,235928,753003,경매용+지육상장,1301,삼성식품(주),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180929,235839,753003,경매용+지육상장,1101,제주축협,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180929,235839,753003,경매용+지육상장,0513,농협음성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180929,235839,753003,경매용+지육상장,0809,농협나주,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180929,235839,753003,경매용+지육상장,0714,익산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180929,235839,753003,경매용+지육상장,0323,농협부천,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180929,235839,753003,경매용+지육상장,1301,삼성식품(주),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180929,235839,753003,경매용+지육상장, ,전국,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180929,235839,753003,경매용+지육상장,0320,도드람,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180929,235839,753003,경매용+지육상장,0302,협신식품,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180929,235839,753003,경매용+지육상장,0905,농협고령,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180929,235839,753003,경매용+지육상장,1201,신흥산업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180929,235839,753003,경매용+지육상장,0202,부경축공,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180929,235839,753003,경매용+지육상장,1005,김해축공,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180929,235839,753003,경매용+지육상장,0613,관성(홍성),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180929,235839,753003,경매용+지육상장,1401,삼호축산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180925,235851,753003,경매용+지육상장, ,전국,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180925,235851,753003,경매용+지육상장,1101,제주축협,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180925,235851,753003,경매용+지육상장,0809,농협나주,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180925,235851,753003,경매용+지육상장,0714,익산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180925,235851,753003,경매용+지육상장,0905,농협고령,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180925,235851,753003,경매용+지육상장,1201,신흥산업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180925,235851,753003,경매용+지육상장,0202,부경축공,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180925,235851,753003,경매용+지육상장,1005,김해축공,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180925,235851,753003,경매용+지육상장,0613,관성(홍성),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180925,235851,753003,경매용+지육상장,0513,농협음성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180925,235851,753003,경매용+지육상장,0323,농협부천,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180925,235851,753003,경매용+지육상장,1301,삼성식품(주),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180925,235851,753003,경매용+지육상장,0320,도드람,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180925,235851,753003,경매용+지육상장,0302,협신식품,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180925,235851,753003,경매용+지육상장,1401,삼호축산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180921,235902,753003,경매용+지육상장,0302,협신식품,17617,-295,0,12229,0,12,8564,-1843,0,2,0,0,0,3578,-104,250,250
20180921,235902,753003,경매용+지육상장, ,전국,16612,-631,22050,10035,115,540,9253,-823,21,47,0,0,0,4369,-264,2890,2890
20180921,235902,753003,경매용+지육상장,1301,삼성식품(주),15197,-3836,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
20180921,235902,753003,경매용+지육상장,0323,농협부천,16046,-937,21375,8984,106,144,9666,659,21,21,0,0,0,4195,1298,57,57
20180921,235902,753003,경매용+지육상장,0513,농협음성,17154,-167,22410,9836,0,133,9188,-397,0,9,0,0,0,4340,364,80,80
20180921,235902,753003,경매용+지육상장,0613,관성(홍성),15720,-65,0,11145,0,8,0,0,0,0,0,0,0,0,0,0,0
20180921,235902,753003,경매용+지육상장,1005,김해축공,16781,-269,21609,12106,0,66,0,0,0,0,0,0,0,4379,-98,233,233
20180921,235902,753003,경매용+지육상장,0202,부경축공,15929,-1086,22670,10683,0,52,8963,-1594,0,7,0,0,0,4169,-187,428,428
20180921,235902,753003,경매용+지육상장,1201,신흥산업,0,0,0,0,0,0,0,0,0,0,0,0,0,3183,-331,192,192
20180921,235902,753003,경매용+지육상장,0905,농협고령,14428,-2886,20900,0,0,8,0,0,0,0,0,0,0,0,0,0,0
20180921,235902,753003,경매용+지육상장,0714,익산,10817,-4805,0,10283,7,7,0,0,0,0,0,0,0,0,0,0,0
20180921,235902,753003,경매용+지육상장,0809,농협나주,10000,0,0,0,0,2,0,0,0,1,0,0,0,3799,-115,207,207
20180921,235902,753003,경매용+지육상장,1401,삼호축산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180921,235902,753003,경매용+지육상장,1101,제주축협,0,0,0,0,0,0,0,0,0,0,0,0,0,5296,-1552,1177,1177
20180921,235902,753003,경매용+지육상장,0320,도드람,17293,-314,0,10096,0,106,8262,-1607,0,7,0,0,0,3138,-871,266,266
20180917,235914,753003,경매용+지육상장,0513,농협음성,17865,-777,22433,10983,0,515,9403,-1371,0,18,0,0,0,5093,-644,996,996
20180917,235914,753003,경매용+지육상장,0613,관성(홍성),15659,-1389,0,12561,0,11,9089,-1883,0,1,0,0,0,0,0,0,0
20180917,235914,753003,경매용+지육상장,1005,김해축공,17313,-11,23922,12150,0,274,10148,0,0,2,0,0,0,4974,36,908,908
20180917,235914,753003,경매용+지육상장,0202,부경축공,16710,-949,23125,11791,0,163,10310,-473,0,24,0,0,0,5274,242,704,704
