,연도,월,국가,상품,가격($만달러)
0,2003,1,US TOTAL,BEEF,229100.0
1,2003,2,US TOTAL,BEEF,194200.0
2,2003,3,US TOTAL,BEEF,204800.0
3,2003,4,US TOTAL,BEEF,215100.0
4,2003,5,US TOTAL,BEEF,236000.0
5,2003,6,US TOTAL,BEEF,239100.0
6,2003,7,US TOTAL,BEEF,243900.0
7,2003,8,US TOTAL,BEEF,232800.0
8,2003,9,US TOTAL,BEEF,231400.0
9,2003,10,US TOTAL,BEEF,221200.0
10,2003,11,US TOTAL,BEEF,178300.0
11,2003,12,US TOTAL,BEEF,197800.0
12,2004,1,US TOTAL,BEEF,192600.0
13,2004,2,US TOTAL,BEEF,180400.0
14,2004,3,US TOTAL,BEEF,210800.0
15,2004,4,US TOTAL,BEEF,195600.0
16,2004,5,US TOTAL,BEEF,207000.0
17,2004,6,US TOTAL,BEEF,222700.0
18,2004,7,US TOTAL,BEEF,210400.0
19,2004,8,US TOTAL,BEEF,215100.0
20,2004,9,US TOTAL,BEEF,210500.0
21,2004,10,US TOTAL,BEEF,211400.0
22,2004,11,US TOTAL,BEEF,194100.0
23,2004,12,US TOTAL,BEEF,204200.0
24,2005,1,US TOTAL,BEEF,191560.0
25,2005,2,US TOTAL,BEEF,176740.0
26,2005,3,US TOTAL,BEEF,204170.0
27,2005,4,US TOTAL,BEEF,188780.0
28,2005,5,US TOTAL,BEEF,207400.0
29,2005,6,US TOTAL,BEEF,222700.0
30,2005,7,US TOTAL,BEEF,208280.0
31,2005,8,US TOTAL,BEEF,231900.0
32,2005,9,US TOTAL,BEEF,215800.0
33,2005,10,US TOTAL,BEEF,208070.0
34,2005,11,US TOTAL,BEEF,207130.0
35,2005,12,US TOTAL,BEEF,205730.0
36,2006,1,US TOTAL,BEEF,205100.0
37,2006,2,US TOTAL,BEEF,182690.0
38,2006,3,US TOTAL,BEEF,220370.0
39,2006,4,US TOTAL,BEEF,196920.0
40,2006,5,US TOTAL,BEEF,230900.0
41,2006,6,US TOTAL,BEEF,244610.0
42,2006,7,US TOTAL,BEEF,221360.0
43,2006,8,US TOTAL,BEEF,245000.0
44,2006,9,US TOTAL,BEEF,216990.0
